#SCHEME_GENUS_SPECIES
abaumannii_Acinetobacter_baumannii
abaumannii_2_Acinetobacter_baumannii
achromobacter_Achromobacter
aeromonas_Aeromonas
afumigatus_Aspergillus_afumigatus
aphagocytophilum_Anaplasma_aphagocytophilum
arcobacter_Arcobacter
bburgdorferi_Borrelia_burgdorferi
bcc_Burkholderia_cepacia
bcereus_Bacillus_cereus
bhampsonii_Brachyspira_hampsonii
bhenselae_Bartonella_henselae
bhyodysenteriae_Brachyspira_hyodysenteriae
bifidobacterium_Bifidobacterium_bifidobacterium
bintermedia_Brachyspira_intermedia
blicheniformis_Bacillus_licheniformis
bordetella_Bordetella_pertussis
borrelia_Borrelia
bpilosicoli_Brachyspira_pilosicoli
bpseudomallei_Burkholderia_pseudomallei
brachyspira_Brachyspira
bsubtilis_Bacillus_subtilis
calbicans_Candida_albicans
campylobacter_Campylobacter_coli
campylobacter_Campylobacter_jejuni
cbotulinum_Clostridium_botulinum
cconcisus_Campylobacter_concisus
cdifficile_Clostridium_difficile
cdifficile_Peptoclostridium_difficile
cdifficile_2_Clostridium_difficile
cdiphtheriae_Corynebacterium_diphtheriae
cfetus_Campylobacter_fetus
cfreundii_Citrobacter_freundii
cglabrata_Candida_glabrata
chelveticus_Campylobacter_helveticus
chlamydiales_Chlamydia
chyointestinalis_Campylobacter_hyointestinalis
cinsulaenigrae_Campylobacter_insulaenigrae
ckrusei_Candida_krusei
clanienae_Campylobacter_lanienae
clari_Campylobacter_lari
cmaltaromaticum_Carnobacterium_maltaromaticum
cneoformans_Cryptococcus_neoformans
cronobacter_Cronobacter
csepticum_Clostridium_septicum
csinensis_Clonorchis_sinensis
csputorum_Campylobacter_sputorum
ctropicalis_Candida_tropicalis
cupsaliensis_Campylobacter_upsaliensis
ecloacae_Enterobacter_cloacae
ecoli_Escherichia
ecoli_Shigella
ecoli_2_Escherichia
edwardsiella_Edwardsiella_tarda
efaecalis_Enterococcus_faecalis
efaecium_Enterococcus_faecium
fpsychrophilum_Flavobacterium_psychrophilum
haemophilus_Haemophilus
hcinaedi_Helicobacter_cinaedi
hinfluenzae_Haemophilus_influenzae
hparasuis_Haemophilus_parasuis
hpylori_Helicobacter_pylori
hsuis_Haematopinus_suis
kkingae_Kingella_kingae
koxytoca_Klebsiella_oxytoca
kpneumoniae_Klebsiella_pneumoniae
kseptempunctata_Kudoa_septempunctata
lcasei_Lactobacillus_casei
legionella_Legionella
leptospira_Leptospira
leptospira_2_Leptospira
leptospira_3_Leptospira
lmonocytogenes_Listeria_monocytogenes
lsalivarius_Lactobacillus_salivarius
mabscessus_Mycobacterium_abscessus
magalactiae_Mycoplasma_agalactiae
mbovis_Mycoplasma_bovis
mcatarrhalis_Moraxells_catarrhalis
mhaemolytica_Mannheimia_haemolytica
mhyorhinis_Mycoplasma_hyorhinis
mmassiliense_Mycobacterium_massiliense
mplutonius_Melissococcus_plutonius
neisseria_Neisseria
orhinotracheale_Ornithobacterium_rhinotracheale
otsutsugamushi_Orientia_tsutsugamushi
pacnes_Propionibacterium_acnes
paeruginosa_Pseudomonas_aeruginosa
pagglomerans_Pantoea_agglomerans
pfluorescens_Pseudomonas_fluorescens
pfreudenreichii_Propionibacterium_freudenreichii
pgingivalis_Porphyromonas_gingivalis
plarvae_Paenibacillus_larvae
pmultocida_multihost_Pasteurella_multocida
pmultocida_rirdc_Pasteurella_multocida
ppentosaceus_Pediococcus_pentosaceus
pshigelloides_Plesiomonas_shigelloides
ranatipestifer_Riemerella_anatipestifer
sagalactiae_Streptococcus_agalactiae
saureus_Staphylococcus_aureus
scanis_Streptococcus_canis
sdysgalactiae_Streptococcus_dysgalactiae
senterica_Salmonella_enterica
sepidermidis_Staphylococcus_epidermidis
sgallolyticus_Streptococcus_gallolyticus
shaemolyticus_Staphylococcus_haemolyticus
shominis_Stapylococcus_hominis
sinorhizobium_Sinorhizobium
slugdunensis_Staphylococcus_lugdunensis
smaltophilia_Stenotrophomonas_maltophilia
soralis_Streptococcus_oralis
spneumoniae_Streptococcus_pneumoniae
spseudintermedius_Staphylococcus_pseudintermedius
spyogenes_Streptococcus_pyogenes
ssuis_Streptococcus_suis
sthermophilus_Streptococcus_thermophilus
sthermophilus_2_Streptococcus_thermophilus
streptomyces_Streptomyces
suberis_Streptococcus_uberis
szooepidemicus_Streptococcus_equi
taylorella_Taylorella
tenacibaculum_Tenacibaculum
tvaginalis_Trichomonas_vaginalis
vcholerae_Vibrio_cholerae
vibrio_Vibrio
vparahaemolyticus_Vibrio_parahaemolyticus
vtapetis_Vibrio_tapetis
vvulnificus_Vibrio_vulnificus
wolbachia_Wolbachia
xfastidiosa_Xylella_fastidiosa
yersinia_Yersinia
ypseudotuberculosis_Yersinia_pseudotuberculosis
yruckeri_Yersinia_ruckeri
